Name,Team,lineupSlot,points,Week,passingCompletions,passingYards,passingTouchdowns,passingInterceptions,rushingAttempts,rushingYards,rushingTouchdowns,fumbles,receivingTargets,receivingReceptions,receivingYards,receivingTouchdowns,injuryStatus,percent_owned,percent_started,avg_points,injured
Tony Pollard,TEN,RB,5.9,3,0.0,0.0,0.0,0.0,6.0,14.0,0.0,0.0,4.0,3.0,15.0,0.0,ACTIVE,0.0,0.0,0.0,False
Justin Tucker,BAL,K,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,0.0,0.0,0.0,False
Brock Bowers,LV,TE,7.1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,41.0,0.0,ACTIVE,0.0,0.0,0.0,False
Jayden Daniels,WSH,QB,28.06,3,21.0,254.0,2.0,0.0,12.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,0.0,0.0,0.0,False
Brian Thomas Jr.,JAX,WR,9.8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,48.0,0.0,ACTIVE,0.0,0.0,0.0,False
Chiefs D/ST,KC,D/ST,5.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0.0,0.0,0.0,False
Justin Jefferson,MIN,WR,20.1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,81.0,1.0,ACTIVE,0.0,0.0,0.0,False
Jonathan Taylor,IND,RB,26.5,3,0.0,0.0,0.0,0.0,23.0,110.0,2.0,0.0,2.0,1.0,25.0,0.0,ACTIVE,0.0,0.0,0.0,False
Nico Collins,HOU,WR,12.6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,86.0,0.0,ACTIVE,0.0,0.0,0.0,False
Sam LaPorta,DET,TE,5.6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,36.0,0.0,QUESTIONABLE,0.0,0.0,0.0,False
Joe Mixon,HOU,RB,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QUESTIONABLE,0.0,0.0,0.0,False
Malik Nabers,NYG,WR,28.2,3,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,12.0,8.0,78.0,2.0,ACTIVE,0.0,0.0,0.0,False
C.J. Stroud,HOU,QB,9.8,3,20.0,215.0,1.0,2.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,0.0,0.0,0.0,False
Rashee Rice,KC,WR,29.1,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,12.0,110.0,1.0,ACTIVE,0.0,0.0,0.0,False
Keenan Allen,CHI,WR,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QUESTIONABLE,0.0,0.0,0.0,False
George Kittle,SF,TE,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QUESTIONABLE,0.0,0.0,0.0,False
Jayden Reed,GB,WR,10.9,3,0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,6.0,4.0,50.0,0.0,ACTIVE,0.0,0.0,0.0,False
DeAndre Hopkins,TEN,WR,19.3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,73.0,1.0,ACTIVE,0.0,0.0,0.0,False
Brock Purdy,SF,QB,25.78,3,22.0,292.0,3.0,0.0,10.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,ACTIVE,0.0,0.0,0.0,False
Ravens D/ST,BAL,D/ST,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0.0,0.0,0.0,False
Harrison Butker,KC,K,13.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTIVE,0.0,0.0,0.0,False
Jameson Williams,DET,WR,1.2,3,0.0,0.0,0.0,0.0,1.0,-7.0,0.0,0.0,3.0,1.0,9.0,0.0,ACTIVE,0.0,0.0,0.0,False
Javonte Williams,DEN,RB,6.1,3,0.0,0.0,0.0,0.0,5.0,12.0,0.0,1.0,4.0,4.0,29.0,0.0,ACTIVE,0.0,0.0,0.0,False
