"Name","Team","lineupSlot","points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"Jordan Akins","CLE","TE","1.6","1.6","1","0","0","0","0","0","0","0","0","1","1","6","0"
"Ian Thomas","CAR","TE","1.6","1.6","1","0","0","0","0","0","0","0","0","1","1","6","0"
"Adam Trautman","DEN","TE","1.6","1.6","1","0","0","0","0","0","0","0","0","2","1","6","0"
"Rondale Moore","ARI","WR","1.6","1.6","1","0","0","0","0","0","0","0","0","2","1","6","0"
"Eric Saubert","HOU","TE","1.5","1.5","1","0","0","0","0","0","0","0","0","1","1","5","0"
"Andrew Beck","HOU","RB","1.5","1.5","1","0","0","0","0","0","0","0","0","2","1","5","0"
"Jalen Guyton","LAC","WR","1.5","1.5","1","0","0","0","0","0","0","0","0","3","1","5","0"
"Skyy Moore","KC","WR","1.5","1.5","1","0","0","0","0","0","0","0","0","2","1","5","0"
"Trevor Siemian","NYJ","QB","1.4","1.4","1","5","66","0","0","1","8","0","1","0","0","0","0"
"Elijah Mitchell","SF","RB","1.3","1.3","1","0","0","0","0","3","13","0","0","0","0","0","0"
"Marcus Mariota","PHI","QB","1.2","1.2","1","2","16","0","0","2","6","0","0","0","0","0","0"
"Cole Turner","WAS","TE","1.2","1.2","1","0","0","0","0","0","0","0","0","1","1","2","0"
"Jeff Wilson Jr.","MIA","RB","1.1","1.1","1","0","0","0","0","4","11","0","0","0","0","0","0"
"James Robinson","GB","RB","1","1","1","0","0","0","0","1","2","0","0","1","1","-2","0"
"Dyami Brown","WAS","WR","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0"
"Jordan Mason","SF","RB","1","1","1","0","0","0","0","2","10","0","0","0","0","0","0"
"Kalif Raymond","DET","WR","0.9","0.9","1","0","0","0","0","1","9","0","0","0","0","0","0"
"Lynn Bowden","NO","WR","0.9","0.9","1","0","0","0","0","2","-6","0","0","1","1","5","0"
"Davis Mills","HOU","QB","0.7","0.7","1","1","18","0","0","0","0","0","0","0","0","0","0"
"Alec Ingold","MIA","RB","0.7","0.7","1","0","0","0","0","0","0","0","0","1","1","-3","0"
