"Name","Team","lineupSlot","points","avg_points","GP","passingCompletions","passingYards","passingTouchdowns","passingInterceptions","rushingAttempts","rushingYards","rushingTouchdowns","fumbles","receivingTargets","receivingReceptions","receivingYards","receivingTouchdowns"
"David Wells","TB","TE","1","0.2","5","0","0","0","0","0","0","0","0","2","2","-10","0"
"James Robinson","GB","RB","1","1","1","0","0","0","0","1","2","0","0","1","1","-2","0"
"AJ McCarron","CIN","QB","0.8","0.4","2","4","19","0","0","0","0","0","0","0","0","0","0"
"Dee Eskridge","SEA","WR","0.5","0.1","4","0","0","0","0","2","5","0","0","1","0","0","0"
"Aaron Rodgers","NYJ","QB","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Matthew Slater","NE","WR","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0"
"Taiwan Jones","NYG","RB","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Matthews","CAR","TE","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Phillip Dorsett","DEN","WR","0","0","2","0","0","0","0","0","0","0","0","3","0","0","0"
"Tyler Kroft","MIA","TE","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0"
"Damiere Byrd","ATL","WR","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0"
"Dwayne Washington","DEN","RB","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0"
"Stephen Anderson","LAC","TE","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"J.P. Holtz","NO","TE","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeremy McNichols","SF","RB","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Darrell Daniels","DET","TE","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Anthony Firkser","DET","TE","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Corey Clement","ARI","RB","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"Tre'Quan Smith","DEN","WR","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Jason Cabinda","DET","RB","0","0","4","0","0","0","0","1","0","0","0","0","0","0","0"
